location,value
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\0.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10008.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10044.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1008.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10080.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10116.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10152.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10188.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10224.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10260.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10296.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10332.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10368.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10404.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1044.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10440.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10476.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10512.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10548.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10584.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10620.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10656.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10692.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10728.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10764.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\108.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1080.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10800.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10836.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10872.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10908.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10944.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\10980.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11016.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11052.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11088.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11124.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\1116.png,0
D:/code/Projects/OCR-Project/dataset-old/data/training_data\0\11160.png,0
